t, desired_pos, desired_vel, desired_tor, pos, vel, tau
1.569904232025146484e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.887912087912098968e+00
1.573090553283691406e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.887912087912098968e+00
1.576272892951965332e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.887912087912098968e+00
1.579478192329406738e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.367521367521362663e-02,4.958241758241769048e+00
1.582700467109680176e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.958241758241769048e+00
1.585868573188781738e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.887912087912098968e+00
1.589049983024597168e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.367521367521362663e-02,4.887912087912098968e+00
1.592173600196838379e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,9.768009768009733307e-03,4.817582417582428889e+00
1.595298886299133301e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.817582417582428889e+00
1.598501086235046387e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,5.860805860805839984e-03,4.817582417582428889e+00
1.601685261726379395e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.887912087912098968e+00
1.604792737960815430e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,5.860805860805839984e-03,4.747252747252758809e+00
1.607974028587341309e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.887912087912098968e+00
